Taxonomy Code
3336S0011X
3336N0007X
3336M0003X
3336M0002X
3336L0003X
3336I0012X
3336H0001X
3336C0004X
3336C0003X
3336C0002X
332B00000X
332BX2000X
291U00000X
333600000X
183500000X
251F00000X
111N00000X
261Q00000X
